2026-01-20 11:12:58,095 | news_classifier | INFO |   ✓ 50/63 articles
2026-01-20 11:12:58,096 | news_classifier | INFO |   ✓ 60/63 articles
2026-01-20 11:12:58,096 | news_classifier | INFO | 🔍 Duplicate detection (threshold=0.85)...
2026-01-20 11:12:58,098 | news_classifier | INFO | ✅ Duplicate detection: 1 doublons trouvés
2026-01-20 11:12:58,099 | news_classifier | INFO | ✅ Classification terminée: 63 articles
2026-01-20 11:12:58,101 | __main__ | INFO | ✅ ÉTAPE 3 COMPLÉTÉE : 63 articles classifiés
2026-01-20 11:12:58,101 | __main__ | INFO | 
===========================================================================
2026-01-20 11:12:58,101 | __main__ | INFO | ÉTAPE 4 : GÉNÉRATION RAPPORT
2026-01-20 11:12:58,101 | __main__ | INFO | ===========================================================================
2026-01-20 11:12:58,101 | report_generator | INFO | 📝 Génération rapport...
2026-01-20 11:12:58,102 | report_generator | INFO | 📈 Extraction trending topics...
2026-01-20 11:12:58,102 | report_generator | INFO | ✅ 1 trending topics trouvés
2026-01-20 11:12:58,102 | report_generator | INFO | ✨ Extraction must-read articles...
2026-01-20 11:12:58,103 | report_generator | INFO | ✅ 5 must-read articles sélectionnés
2026-01-20 11:12:58,103 | report_generator | INFO | 📊 Analyse thématique...
2026-01-20 11:12:58,104 | report_generator | INFO | 😊 Analyse sentiments...
2026-01-20 11:12:58,105 | report_generator | INFO | ✅ Rapport sauvegardé: output\veille_report.txt
2026-01-20 11:12:58,105 | __main__ | INFO | ✅ ÉTAPE 4 COMPLÉTÉE : Rapport sauvegardé
2026-01-20 11:12:58,105 | __main__ | INFO | 
===========================================================================
2026-01-20 11:12:58,105 | __main__ | INFO | ✅ PIPELINE COMPLET - SUCCÈS
2026-01-20 11:12:58,105 | __main__ | INFO | ===========================================================================
2026-01-20 11:12:58,106 | __main__ | INFO | Rapport généré: output/veille_report.txt
2026-01-20 11:12:58,106 | __main__ | INFO | Articles traités: 63
2026-01-20 11:12:58,106 | __main__ | INFO | Temps total: 11:12:58
2026-01-20 11:12:58,107 | __main__ | INFO | ===========================================================================
2026-01-20 11:13:55,128 | __main__ | INFO | 🚀 Pipeline Veille NLP - Démarrage
2026-01-20 11:13:55,129 | __main__ | INFO | Configuration chargée depuis: config.json
2026-01-20 11:13:55,129 | __main__ | INFO | 
===========================================================================
2026-01-20 11:13:55,129 | __main__ | INFO | ÉTAPE 1 : COLLECTE ARTICLES
2026-01-20 11:13:55,129 | __main__ | INFO | ===========================================================================
2026-01-20 11:13:55,130 | news_collector | INFO | ======================================================================
2026-01-20 11:13:55,130 | news_collector | INFO | 📥 COLLECTE ARTICLES - Début
2026-01-20 11:13:55,130 | news_collector | INFO | ======================================================================
2026-01-20 11:13:55,130 | news_collector | INFO | 🔄 Collecte HackerNews...
2026-01-20 11:13:55,130 | news_collector | INFO |   Scraping page 1/2
2026-01-20 11:13:57,855 | news_collector | INFO |   Scraping page 2/2
2026-01-20 11:14:00,086 | news_collector | INFO | ✅ HackerNews: 60 articles collectés
2026-01-20 11:14:00,087 | news_collector | INFO | 🔄 Collecte RSS: https://pycoders.com/feed
2026-01-20 11:14:00,517 | news_collector | INFO | ✅ RSS: 3 articles collectés
2026-01-20 11:14:00,518 | news_collector | INFO | ======================================================================
2026-01-20 11:14:00,518 | news_collector | INFO | 📊 RÉSUMÉ COLLECTE
2026-01-20 11:14:00,519 | news_collector | INFO |    Total articles : 63
2026-01-20 11:14:00,519 | news_collector | INFO |    Total erreurs : 0
